"","File.name","run","number","Average","Max","Tissue","Tissue2"
"62","Run5_5_","5","5",114.2,116,"LN","Tissue"
"63","Run5_6_","5","6",269.6,273,"LN","Tissue"
"64","Run5_7_","5","7",78.9,80,"LN","Tissue"
"65","Run5_8_","5","8",123.5,125,"LN","Tissue"
"66","Run5_9_","5","9",99.1,100,"LN","Tissue"
"67","Run6_1_","6","1",67.3,68,"LN","Tissue"
"68","Run6_10","6","10",295.6,299,"LN","Tissue"
"69","Run6_11","6","11",206.7,216,"HLN","Tissue"
"70","Run6_12","6","12",72.9,74,"LN","Tissue"
"71","Run6_13","6","13",98.1,100,"LN","Tissue"
"72","Run6_14","6","14",98.7,100,"HLN","Tissue"
"73","Run6_15","6","15",232.2,243,"LN","Tissue"
"74","Run6_16","6","16",85.4,86,"HLN","Tissue"
"75","Run6_17","6","17",62.4,63,"LN","Tissue"
"76","Run6_18","6","18",16.8,17,"LN","Tissue"
"77","Run6_19","6","19",53.1,54,"HLN","Tissue"
"78","Run6_2_","6","2",91.6,93,"HLN","Tissue"
"79","Run6_20","6","20",116.8,119,"LN","Tissue"
"80","Run6_21","6","21",120.6,122,"LN","Tissue"
"81","Run6_22","6","22",179.7,182,"HLN","Tissue"
"82","Run6_23","6","23",195.5,199,"LN","Tissue"
"83","Run6_24","6","24",168.2,170,"LN","Tissue"
"84","Run6_3_","6","3",51.7,52,"LN","Tissue"
"85","Run6_4_","6","4",160.2,168,"LN","Tissue"
"86","Run6_5_","6","5",203.7,206,"LN","Tissue"
"87","Run6_6_","6","6",65.2,66,"HLN","Tissue"
"88","Run6_7_","6","7",556.9,564,"LN","Tissue"
"89","Run6_8_","6","8",168.3,170,"LN","Tissue"
"90","Run6_9_","6","9",255.2,259,"LN","Tissue"
"91","Run7_10","7","10",266.8,270,"HLN","Tissue"
"92","Run7_11","7","11",307.2,311,"LN","Tissue"
"93","Run7_12","7","12",479.9,487,"Colon","Tissue"
"94","Run7_13","7","13",166.1,168,"HLN","Tissue"
"95","Run7_14","7","14",370.8,376,"LN","Tissue"
"96","Run7_15","7","15",425.9,431,"LN","Tissue"
"97","Run7_16","7","16",172.5,174,"LN","Tissue"
"98","Run7_17","7","17",195.9,198,"LN","Tissue"
"99","Run7_18","7","18",1315.2,1426,"LN","Tissue"
"100","Run7_19","7","19",1247,1303,"Lung","Tissue"
"101","Run7_20","7","20",1497.9,1525,"Lung","Tissue"
"102","Run7_21","7","21",45.4,46,"LN","Tissue"
"103","Run7_22","7","22",208.7,212,"LN","Tissue"
"104","Run7_23","7","23",273.7,277,"Plasma","Plasma"
"105","Run7_24","7","24",452.8,458,"Plasma","Plasma"
"106","Run7_9_","7","9",335.9,341,"LN","Tissue"
